id,title,description,difficulty,category,domain,constraints,example_prompt,expected_outcome,base_points,is_premium,course_name,course_id,total_attempts,success_rate,tags,company_context,created_date
"699c84db9cd2813f2a1eeaac","Smart Grocery List Generator","Create an AI prompt that generates a customized grocery list based on a week's meal plan provided by the user. The prompt should take into account dietary preferences, number of servings, and specific ingredients to avoid (e.g., allergies).","intermediate","automation",,"The meal plan must include at least 5 different meals, and the AI should categorize the grocery items by type (e.g., veggies, proteins, dairy).","Generate a grocery list for a week based on these meals: 1. Grilled chicken salad, 2. Spaghetti with marinara sauce, 3. Vegetable stir-fry, 4. Beef tacos, 5. Pancakes. Users are vegetarian and avoid gluten.","A comprehensive grocery list categorized into sections like vegetables, proteins, and condiments, including quantities needed for each item based on the meal descriptions.",250,false,"No Course",,0,0,"ai-generated; isiraglobal",,"2026-02-23T16:48:27.063000"
"6969214108361dae72f6f78e","Design an Integration Framework for a Multi-Cloud Environment","Students are tasked with designing an integration framework that enables seamless data interchange between disparate systems existing across multiple cloud platforms. The framework should address challenges such as data consistency, latency, and scalability while ensuring security and compliance with enterprise regulations.","hard","integration",,"The design must include detailed architectural diagrams, identify two specific cloud services from different providers, and describe how the integration will handle error management and monitoring. Solutions should also consider the user experience in accessing integrated data.","Design a multi-cloud integration framework that facilitates real-time data synchronization between AWS and Azure while ensuring data privacy and integrity. Include error handling methodologies and monitoring tools you would use.","The AI should produce a comprehensive framework outline, including architectural diagrams, service selection justification, data flow descriptions, and a section addressing error handling and monitoring strategies.",300,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:17:53.900000"
"69692138eab253fde7e0268e","Design a Scalable E-Commerce Architecture","Your task is to design a scalable architecture for an e-commerce platform aimed at handling increased traffic during peak shopping seasons. Consider components such as microservices for different functionalities (e.g., user management, inventory, payment processing), cloud service options, and methods for ensuring data consistency and security. Present your solution using architectural diagrams and a brief explanation of your design choices.","intermediate","solution_design",,"The solution must utilize cloud services for scalability, include microservices architecture, and address data security measures. Diagrams must be clear and labeled, and the explanation should not exceed 500 words.","Create an architecture diagram for an e-commerce solution that can scale efficiently during high traffic periods. Include microservice interactions, data flow, and chosen cloud services.","A detailed architecture diagram showing the interactions between microservices, along with a concise explanation of how the design meets scalability and security requirements for an e-commerce platform.",200,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:17:44.313000"
"6969213149bdf7a5f243ca23","Design a Scalable Microservices Architecture for an E-Commerce Platform","You are tasked with designing a microservices architecture for an e-commerce platform that can handle high traffic and diverse functionality, such as user management, product catalog, inventory management, and payment processing. Your design should include considerations for scalability, integration, data flow, and user experience, as well as a description of the technologies you would use.","expert","architecture",,"Your solution must incorporate at least three different microservices, specify communication methods (e.g., REST, messaging queues), and address security and data consistency challenges. You should also include a diagram of your architecture and a brief explanation of how each component interacts within the system.","Design a microservices architecture for an imaginary online bookstore with functionalities like browsing books, user reviews, and payment processing. What services would you create, how would they communicate, and how would you ensure the system remains responsive under heavy load?","A comprehensive architectural design document that outlines the proposed microservices architecture, including a detailed diagram illustrating the services and their interactions, along with a written explanation addressing scalability, security, and data integrity.",400,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:17:37.603000"
"6969212a61bc28bff8ba0b1f","Design a Scalable Microservices Architecture for XYZ Corp","You are tasked with designing a scalable microservices architecture for a fictitious company, XYZ Corp, which is planning to launch a new e-commerce platform. Your design should effectively support high traffic during peak times, ensure seamless integration of services, and provide a user-friendly experience. Consider aspects such as service decomposition, data management, and load balancing in your design.","hard","scalability",,"Your architecture should consist of at least five distinct microservices, include a load balancing strategy, and utilize a cloud service provider of your choice. Provide a diagram that outlines your architecture and a brief report explaining your design choices and how they enhance scalability.","Create a microservices architecture diagram for XYZ Corp's e-commerce platform, detailing the services involved, their interactions, and the overall flow of data. Additionally, write a report justifying your design decisions and how they will facilitate scalability.","The output should include a clear and comprehensive architecture diagram, along with a well-structured report explaining the design and scalability strategies implemented in the architecture.",300,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:17:30.741000"
"696921246b57107a2556ff4f","Designing a User-Centric Enterprise Application for Remote Collaboration","In this challenge, you will design a user experience for an enterprise application that facilitates remote collaboration among teams in different locations. You will need to create wireframes that prioritize usability and engagement, incorporating user feedback mechanisms, onboarding processes, and accessibility features to accommodate various user profiles.","intermediate","user_experience",,"Your design must include at least three user personas, specific features for collaboration, and an explanation of how the design enhances user experience. Wireframes should be annotated to detail user navigation paths and interactions.","Create detailed wireframes for an enterprise remote collaboration tool that includes chat, file sharing, and video conferencing. Ensure that the design addresses the needs of a diverse set of users including project managers, developers, and non-technical staff.","The AI should produce comprehensive wireframes with annotations highlighting key user interactions, a succinct rationale for the design choices based on user personas, and a summary of how these features contribute to an improved user experience.",200,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:17:24.201000"
"6969211ccc7d04d4dcc17346","Enterprise Integration Architecture Design Challenge","Design a scalable and robust integration architecture for a fictional enterprise that needs to connect multiple legacy systems with new SaaS solutions. Students must select appropriate integration patterns, tools, and methodologies while creating a flow diagram that demonstrates data movement and transformation across systems.","expert","integration",,"The design must include at least three different integration patterns (e.g., point-to-point, publish/subscribe, service-oriented architecture). Students should justify their choices and illustrate potential bottlenecks and solutions in a written report of up to 2000 words.","Consider a healthcare enterprise that needs to integrate a legacy patient management system with a new cloud-based electronic health records system, along with a payment processing service. Describe your approach and provide a visual integration map.","A comprehensive integration architecture design report, including diagrams illustrating the proposed system, supporting documentation detailing integration patterns and methodologies used, and an analysis of scalability and performance considerations.",400,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:17:16.604000"
"69692116fe4cbf99b21b9870","Design a Scalable E-Commerce Solution Architecture","Design an enterprise-level e-commerce solution that can handle 100,000 concurrent users while ensuring data integrity and enhancing user experience. The solution should include components for inventory management, payment processing, user authentication, and analytics, demonstrating the ability to integrate with existing systems while supporting scalability and performance.","hard","solution_design",,"The architecture must be cloud-based, utilize microservices for individual components, and include at least three layers of security measures. Consider potential future scalability needs and integration with third-party services. Provide diagrams to visualize the architecture.","Create a comprehensive architecture diagram and description for an e-commerce platform that can support high traffic and various payment methods, focusing on how to manage user sessions securely and maintain data consistency across services.","A detailed solution architecture diagram and explanation that showcases a scalable e-commerce platform designed to handle high traffic, includes integration points, and considers security and data management practices.",300,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:17:10.251000"
"69692110be0fc88fdee47664","Design a Scalable Microservices Architecture for E-Commerce","Students are tasked with designing a microservices architecture for an e-commerce platform that aims to handle high traffic and integrate with third-party services. The solution must prioritize scalability, security, and an excellent user experience, taking into account cloud deployment options and data management strategies.","intermediate","architecture",,"The architecture must include at least five different microservices, a database solution, and a plan for API management. Students must also provide a diagram illustrating the architecture and a brief explanation of how each component interacts with the others.","Design a microservice for product management, including data storage and interaction with the inventory service, while ensuring the service is secure and performant under high load.","A comprehensive architecture diagram showcasing the relationship between microservices, a written explanation of each service's role, and guidelines for managing APIs and securing data transfers.",200,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:17:04.830000"
"696921095509108c2c5ea74f","Designing a Scalable Payment Processing Solution","You are tasked with designing a scalable payment processing solution for a multi-national e-commerce platform that expects to handle millions of transactions daily. Your solution must prioritize high availability, fault tolerance, and rapid transaction processing while ensuring data consistency and security across multiple regions.","expert","scalability",,"The solution must incorporate service-oriented architecture, use cloud-native technologies, and provide a detailed scalability plan that includes performance metrics and emergency response strategies for peak transaction loads.","Design a payment processing architecture that can scale from hundreds to millions of transactions per hour. Include diagrams and explain how you would manage scaling challenges and ensure system resilience.","Students should produce a comprehensive design document including architecture diagrams, scalability strategies, and an explanation of how the system will handle load balancing, data consistency, and potential points of failure.",400,true,"Enterprise Solution Design","696920cedd6bbbf23349fa59",0,0,"ai-generated; course-specific; enterprise-solution-design",,"2026-01-15T17:16:57.947000"
